sample_id,smiles,pic50,num_atoms,logp
bigsmiles_activity_00001,O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,25,4.159100000000002
bigsmiles_activity_00002,O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,4.34,36,3.6743000000000015
bigsmiles_activity_00003,NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,4.53,23,1.5361
bigsmiles_activity_00004,NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,4.56,22,0.9509999999999998
bigsmiles_activity_00005,CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,21,3.213000000000001
bigsmiles_activity_00006,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,4.6,22,3.6453000000000024
bigsmiles_activity_00007,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,4.61,24,4.142100000000002
bigsmiles_activity_00008,COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.67,26,4.566400000000004
bigsmiles_activity_00009,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,4.68,33,3.323500000000002
bigsmiles_activity_00010,COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,4.68,32,2.3689999999999998
bigsmiles_activity_00011,NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,22,2.151
bigsmiles_activity_00012,CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.73,21,2.6683000000000003
bigsmiles_activity_00013,NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,23,1.5024999999999993
bigsmiles_activity_00014,N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.74,22,3.1489800000000017
bigsmiles_activity_00015,O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.75,32,4.057500000000003
bigsmiles_activity_00016,NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,4.78,38,4.588900000000004
bigsmiles_activity_00017,CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,4.79,26,4.122700000000002
bigsmiles_activity_00018,COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,4.79,27,3.992200000000002
bigsmiles_activity_00019,O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,29,4.3804000000000025
